Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId,data.repository.primaryLanguage
bootstrap-styled/v4,murphym757/Souse,183970394,https://github.com/murphym757/Souse,Souse,murphym757,0,0,[],,[],0,False,,,0,[],,
bootstrap-styled/v4,rmozeika/rift,207609176,https://github.com/rmozeika/rift,rift,rmozeika,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}, {'name': 'TypeScript'}, {'name': 'Objective-C'}, {'name': 'Perl'}, {'name': 'HTML'}, {'name': 'Ruby'}, {'name': 'Python'}, {'name': 'Java'}]",0,False,,,0,[],MIT,
bootstrap-styled/v4,taiwanhua/fdtm,199371510,https://github.com/taiwanhua/fdtm,fdtm,taiwanhua,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'CSS'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,sjohn2/nextjs-styled-component,203782454,https://github.com/sjohn2/nextjs-styled-component,nextjs-styled-component,sjohn2,0,1,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],,
bootstrap-styled/v4,jcquinlan/publist,186142611,https://github.com/jcquinlan/publist,publist,jcquinlan,0,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'Python'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,reginaldoMorais/react-parcel,202181583,https://github.com/reginaldoMorais/react-parcel,react-parcel,reginaldoMorais,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,oxfoundation/oxyn.io,199688657,https://github.com/oxfoundation/oxyn.io,oxyn.io,oxfoundation,0,2,[],CSS,"[{'name': 'CSS'}, {'name': 'JavaScript'}, {'name': 'Shell'}]",0,False,,,0,[],,
bootstrap-styled/v4,dassishot/centauro,199497666,https://github.com/dassishot/centauro,centauro,dassishot,0,1,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}]",0,False,,,0,[],,
bootstrap-styled/v4,sylvesteraswin/sylvesteraswin.com,77155946,https://github.com/sylvesteraswin/sylvesteraswin.com,sylvesteraswin.com,sylvesteraswin,0,1,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'CSS'}, {'name': 'JavaScript'}]",0,False,,,0,[],,
bootstrap-styled/v4,javierh2k/store-app,197250140,https://github.com/javierh2k/store-app,store-app,javierh2k,1,0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0,False,,,0,[],,
bootstrap-styled/v4,javierh2k/store-ui,197249841,https://github.com/javierh2k/store-ui,store-ui,javierh2k,2,0,[],JavaScript,[{'name': 'JavaScript'}],0,False,,,0,[],,
